200	 7.115926
366	 6.705445
532	 6.675674
698	 6.778684
864	 6.906264
1030	 6.715012
1196	 6.688273
1362	 6.846831
1528	 6.745029
1694	 6.783171
1860	 6.840277
2026	 6.726443
2192	 6.804482
2358	 6.673444
2524	 6.728395
2690	 6.800793
2856	 6.748770
3022	 6.685168
3188	 6.723130
3354	 6.775245
3520	 6.700530
3686	 6.720070
3852	 6.831562
4018	 6.781295
4184	 6.692300
4350	 6.727629
4516	 6.742015
4682	 6.806036
4848	 6.756925
5014	 6.770137
5180	 6.765129
5346	 6.758462
5512	 6.778253
5678	 6.735868
5844	 6.731762
6010	 6.755384
6176	 6.749932
6342	 6.801260
6508	 6.729047
6674	 6.739988
6840	 6.762837
7006	 6.756923
7172	 6.780240
7338	 6.748007
7504	 6.763329
7670	 6.769244
7836	 6.766154
8002	 6.738020
8168	 6.756290
8334	 6.772300
8500	 6.774885
8666	 6.787204
8832	 6.744249
8998	 6.760463
9164	 6.704411
9330	 6.746987
9496	 6.757852
9662	 6.797343
9828	 6.741980
9994	 6.733406
10160	 6.820279
10326	 6.718272
10492	 6.741978
10658	 6.710375
10824	 6.722790
10990	 6.724411
11156	 6.793989
11322	 6.766397
11488	 6.723510
11654	 6.755632
11820	 6.769476
11986	 6.710571
12152	 6.719650
12318	 6.776989
12484	 6.744249
12650	 6.727621
12816	 6.763328
12982	 6.730517
13148	 6.746550
13314	 6.738990
13480	 6.763041
13646	 6.736941
13812	 6.726246
13978	 6.745973
14144	 6.744859
14310	 6.746242
14476	 6.732085
14642	 6.743935
14808	 6.726834
14974	 6.774748
15140	 6.749670
15306	 6.768199
15472	 6.764478
15638	 6.744685
15804	 6.750439
15970	 6.747679
16136	 6.758419
16302	 6.721062
16468	 6.764767
16634	 6.752616
16800	 6.732759
16966	 6.764116
17132	 6.737114
17298	 6.754747
17464	 6.754990
17630	 6.757559
17796	 6.766634
17962	 6.784513
18128	 6.768973
18294	 6.752786
18460	 6.729488
18626	 6.769488
18792	 6.748345
18958	 6.762564
