-45228, 26
-74276, -392
-88508, 68
-97136, 352
-102260, 702
-105348, 1282
-107432, 1402
-108932, 1326
-110536, 1798
-111440, 1982
-112696, 2122
-113532, 1914
-114328, 2000
-115328, 2472
-115944, 2850
-116340, 2884
-116852, 2842
-117176, 2946
-117280, 2658
-117864, 3164
-117980, 3334
-118100, 3716
-118660, 4408
-118736, 4458
-118820, 4768
-119256, 4826
-119220, 4994
-119596, 5042
-119684, 5366
-119760, 5642
-120160, 5888
-119972, 5814
-119992, 5854
-120236, 5982
-120312, 6190
-120536, 6634
-120640, 6776
-120732, 6546
-120808, 6988
-120732, 6940
-121068, 7278
-121164, 7510
-121260, 7728
-121268, 7880
-121864, 7734
-121624, 7596
-121524, 8158
-121568, 8138
-122072, 7996
-122028, 8154
-122084, 8562
-122136, 8898
-121976, 8986
-122096, 9108
-122300, 9442
-122420, 9660
-122408, 10278
-122072, 10360
-122224, 10686
-122752, 11348
-122428, 11562
-122444, 11792
-122640, 12092
-122712, 12388
-122616, 12176
-122524, 12294
-123076, 12474
-122944, 12896
-122904, 13152
-122984, 13104
-122820, 12978
-123288, 13074
-123288, 13586
-123060, 13606
-123516, 13686
-123408, 13882
-123360, 13914
-123292, 13940
-123204, 14028
-123428, 14408
-123432, 14548
-123492, 14926
-123764, 15340
-123416, 16110
-123664, 16234
-123924, 16174
-124312, 16216
-123920, 16368
-124024, 16194
-123940, 16126
-123744, 16246
-124304, 16406
-124352, 16778
-124444, 17266
-124376, 17342
-124340, 17668
-124368, 17920
-124324, 18240
-124556, 18482
-124396, 18442
-124464, 18706
-124672, 18854
-124592, 18926
-124532, 19244
-124548, 19366
-124700, 19582
-124844, 19646
-124920, 20114
-124776, 20340
-125096, 20642
-125076, 20742
-125120, 20808
-125156, 21090
-125400, 21268
-125028, 21530
-125012, 21704
-125468, 21820
-125340, 21880
-125456, 22008
-125692, 22396
-125228, 22690
-125348, 22796
-125252, 22774
-125332, 22822
-125304, 23050
-125252, 23322
-125208, 23298
-125656, 23310
-125416, 23472
-125084, 23612
-125368, 23800
-125676, 24006
-125528, 23954
-125536, 24142
-125660, 24200
-125748, 24324
-125756, 24394
-125852, 24376
-125708, 24510
-125680, 24938
-125732, 24850
-126028, 24900
-125652, 24870
-125948, 24948
-125772, 24974
-125652, 24970
-125772, 25180
-126008, 25154
-125876, 25190
-125912, 25224
-125956, 25234
-125896, 25106
-125868, 25000
-125808, 25024
-125596, 24988
-125572, 24900
-125720, 24986
-126036, 25042
-125912, 25258
-126120, 25378
-125892, 25422
-125992, 25528
-125868, 25696
-125760, 25514
-126044, 25810
-126044, 25864
-126020, 25976
-126052, 26148
-126148, 26066
-126040, 26134
-125992, 26302
-126224, 26414
-125864, 26516
-125888, 26630
-126096, 26838
-126152, 27018
-125920, 27050
-125920, 27156
-125832, 27192
-126120, 27522
-125864, 27532
-126088, 27682
-126132, 27826
-126100, 27796
-126080, 27922
-125724, 27864
-126180, 28000
-125732, 28120
-126196, 28186
-125928, 28262
-125940, 28374
-125720, 28424
-126148, 28620
-126324, 28818
-125904, 28858
-125724, 28918
-126012, 28996
-126128, 29080
-125844, 29210
-125976, 29256
-125908, 29292
-125884, 29386
-126260, 29492
-126100, 29652
-126228, 29774
-126268, 29908
-126048, 29994
-126060, 29910
-125968, 30078
-126064, 30044
-126096, 30270
-126560, 30364
-126204, 30280
-125968, 30510
-125724, 30390
-125960, 30522
-126112, 30562
-125940, 30476
-125892, 30670
-126060, 30946
-126424, 30928
-126408, 31074
-126308, 31120
-126324, 31404
-126112, 31372
-126360, 31474
-126500, 31718
-126664, 31750
-126396, 31816
-125948, 31712
-126120, 31892
-126120, 31924
-125916, 32028
-125972, 32130
-126128, 32484
-125992, 32776
-126076, 32834
-126244, 32956
-126380, 33360
-126008, 33458
-126216, 33778
-126340, 33876
-126096, 34090
-126600, 34364
-126488, 34336
-126316, 34296
-126272, 34470
-125788, 34636
-126564, 34858
-126264, 34800
-126236, 34798
-126300, 35030
-126620, 35228
-126500, 35282
-126496, 35436
-126192, 35416
-126528, 35646
-126608, 35834
-126024, 35950
-126388, 36230
-126436, 36218
-126664, 36316
-126360, 36264
-126396, 36412
-126208, 36364
-126236, 36548
-126276, 36524
-126136, 36504
-126528, 36750
-126548, 36922
-126452, 36960
-126284, 36976
-126508, 37032
-126308, 36946
-126248, 37056
-126148, 37056
-126480, 37166
-126224, 37264
-126268, 37334
-126576, 37500
-126468, 37702
-126536, 37802
-125992, 37732
-126404, 37774
-126520, 38000
-126612, 38128
-126564, 38350
-126620, 38272
-126596, 38398
-126500, 38406
-126524, 38622
-125940, 38502
-126420, 38644
-126372, 38768
-126404, 38930
-126392, 39070
-126396, 39068
-126480, 39248
-126428, 39348
-126248, 39366
