M  	dmean
1	66.5614
2	66.5614
3	66.5614
4	66.5614
5	66.5614
6	66.5614
7	66.5614
8	66.5614
9	66.5614
10	66.5614
11	66.5614
12	66.5614
13	66.5614
14	66.5614
15	66.5614
16	66.5614
17	66.5614
18	66.5614
19	66.5614
20	66.5614
21	66.5614
22	66.5614
23	66.5614
24	66.5614
25	66.5614
26	66.5614
27	66.5614
28	66.5614
29	66.5614
30	66.5614
31	66.5614
32	66.5614
33	66.5614
34	66.5614
35	66.5614
36	66.5614
37	66.5614
38	66.5614
39	66.5614
40	66.5614
41	66.5614
42	64.9372
43	64.4296
44	64.4296
45	64.4296
46	64.4296
47	64.4296
48	64.4296
49	64.4296
50	64.4296
51	64.4296
52	64.4296
53	64.4296
54	64.4296
55	64.4296
56	64.4296
57	64.4296
58	64.4296
59	64.4296
60	64.4296
61	64.4296
62	64.4296
63	64.3131
64	64.2701
65	64.2701
66	64.2701
67	64.2701
68	64.2701
69	64.2701
70	64.2701
71	64.2701
72	64.2701
73	64.2701
74	64.2701
75	64.2701
76	64.2701
77	64.2701
78	64.3144
79	64.4347
80	64.4347
81	64.4347
82	64.4347
83	64.4347
84	64.4347
85	64.4347
86	64.4347
87	64.4347
88	64.4347
89	64.4347
90	64.4347
91	64.1688
92	63.6002
93	63.6002
94	63.6002
95	63.6002
96	63.6002
97	63.6002
98	63.6002
99	63.6002
100	63.6002
101	63.6002
102	63.6436
103	63.9161
104	63.9161
105	63.9161
106	63.9161
107	63.9161
108	63.9161
109	63.9161
110	63.9161
111	63.9161
112	65.149
113	68.1004
114	68.1004
115	68.1004
116	68.1004
117	68.1004
118	68.1004
119	68.1004
120	68.1004
121	68.1004
122	64.989
123	64.7996
124	64.7996
125	64.7996
126	64.7996
127	64.7996
128	64.7996
129	64.7996
130	64.5366
131	64.0565
132	64.0565
133	64.0565
134	64.0565
135	64.0565
136	64.0565
137	64.0565
138	64.2049
139	64.4581
140	64.4581
141	64.4581
142	64.4581
143	64.4581
144	64.4581
145	64.7241
146	65.9415
147	65.9415
148	65.9415
149	65.9415
150	65.9415
151	65.9415
152	66.3482
153	66.955
154	66.955
155	66.955
156	66.955
157	66.955
158	66.955
159	66.39
160	66.0567
161	66.0567
162	66.0567
163	66.0567
164	66.0567
165	65.8858
166	64.7143
167	64.7143
168	64.7143
169	64.7143
170	64.7143
171	64.8244
172	66.4247
173	66.4247
174	66.4247
175	66.4247
176	66.4247
177	66.5215
178	67.3764
179	67.3764
180	67.3764
181	67.3764
182	67.3764
183	67.1367
184	66.3322
185	66.3322
186	66.3322
187	66.3322
188	66.3322
189	66.7444
190	67.0038
191	67.0038
192	67.0038
193	67.0038
194	67.09
195	68.6776
196	68.6776
197	68.6776
198	68.6776
199	68.6776
200	67.4787
201	66.2056
202	66.2056
203	66.2056
204	66.2056
205	66.0373
206	62.3729
207	62.3729
208	62.3729
209	62.3729
210	62.3729
211	65.4229
212	66.4204
213	66.4204
214	66.4204
215	66.4204
216	64.798
217	63.7038
218	63.7038
219	63.7038
220	63.7038
221	64.5698
222	65.235
223	65.235
224	65.235
225	65.235
226	64.6099
227	64.2471
228	64.2471
229	64.2471
230	64.2471
231	65.8275
232	66.2098
233	66.2098
234	66.2098
235	65.9734
236	63.6842
237	63.6842
238	63.6842
239	63.6842
240	65.49
241	67.4858
242	67.4858
243	67.4858
244	67.4858
245	65.1637
246	65.0752
247	65.0752
248	65.0752
249	66.7452
250	68.274
251	68.274
252	68.274
253	67.7537
254	64.7167
255	64.7167
256	64.7167
257	64.7167
258	65.2388
259	65.3346
260	65.3346
261	65.3346
262	66.3503
263	66.9978
264	66.9978
265	66.9978
266	68.0325
267	69.2174
268	69.2174
269	69.2174
270	67.5389
271	65.4409
272	65.4409
273	65.4409
274	65.2628
275	65.1555
276	65.1555
277	65.1555
278	63.6345
279	62.9871
280	62.9871
281	62.9871
282	65.5711
283	66.3607
284	66.3607
285	66.3607
286	69.6537
287	70.0833
288	70.0833
289	69.7237
290	65.5655
291	65.5655
292	65.5655
293	65.8186
294	66.2928
295	66.2928
296	66.2928
297	68.0353
298	68.5626
299	68.5626
300	67.3403
301	64.3958
302	64.3958
303	64.3958
304	66.1159
305	66.4384
306	66.4384
307	65.0033
308	63.2457
309	63.2457
310	63.2347
311	63.0755
312	63.0755
313	63.0755
314	64.0908
315	64.4861
316	64.4861
317	65.5918
318	67.246
319	67.246
320	67.1525
321	66.2144
322	66.2144
323	66.2144
324	65.2713
325	65.057
326	65.057
327	63.5949
328	62.5139
329	62.5139
330	63.477
331	64.8337
332	64.8337
333	65.3356
334	68.467
335	68.467
336	68.467
337	64.74
338	64.74
339	64.74
340	67.2447
341	67.7598
342	67.7598
343	67.3248
344	67.0657
345	67.0657
346	66.8196
347	66.5128
348	66.5128
349	66.9642
350	67.6299
351	67.6299
352	66.8157
353	65.6802
354	65.6802
355	66.6977
356	67.9238
357	67.9238
358	66.4936
359	65.2431
360	65.2431
361	65.0513
362	64.8787
363	64.8787
364	66.2256
365	67.3423
366	67.3423
367	66.796
368	66.4226
369	66.4226
370	67.261
371	67.6635
372	67.6635
373	65.8539
374	65.1911
375	65.1911
376	65.365
377	65.4048
378	65.4048
379	65.158
380	65.136
381	65.2241
382	67.3732
383	67.3732
384	67.2448
385	66.7247
386	66.7247
387	66.9326
388	67.2647
389	67.2647
390	66.0002
391	65.0632
392	65.0632
393	68.1064
394	68.9589
395	68.9384
396	67.9462
397	67.9462
398	66.2191
399	61.8088
400	61.8088
401	64.0789
402	66.0626
403	66.0626
404	67.1552
405	67.3922
406	67.4245
407	67.6598
408	67.6598
409	67.3981
410	67.0651
411	67.0651
412	69.4382
413	70.1397
414	69.5046
415	64.2964
416	64.2964
417	66.6121
418	69.1246
419	69.1246
420	64.9112
421	64.2496
422	64.7281
423	66.0052
424	66.0052
425	69.9826
426	71.7354
427	70.8639
428	65.207
429	65.207
430	65.8362
431	66.2597
432	66.2138
433	65.7097
434	65.7097
435	65.9916
436	66.1983
437	66.2277
438	66.5877
439	66.5877
440	63.6578
441	61.5715
442	61.7581
443	63.2544
444	63.2544
445	65.0832
446	66.0511
447	66.2673
448	67.0577
449	67.0577
450	65.5509
451	65.1584
452	66.031
453	67.4514
454	67.4514
455	66.9535
456	66.9502
457	67.2705
458	67.4785
459	67.4439
460	67.3765
461	67.4129
462	68.9008
463	68.9008
464	67.0828
465	66.6573
466	67.022
467	67.3109
468	66.7751
469	65.8003
470	66.431
471	70.9105
472	70.9105
473	65.2144
474	64.5859
